customer_id,member_type,region_1,region_2
fce82b16f9a8,비회원,경남,창원시
633124f8257d,비회원,대구,동
9e2164014e8f,비회원,경기,시흥시
1b599e14a775,비회원,세종특별자치시,도움1로
5a8161f151ed,비회원,경기,김포시
721727039a1d,비회원,서울,영등포구
9016890fd0f7,비회원,경남,김해시
98af1d6b603d,비회원,경기,용인시
198cbafd21c7,비회원,제주특별자치도,제주시
ba076cd90c8f,비회원,부산,사상구
3d866570429c,비회원,부산,동
c4c2e50b318d,비회원,경기,안산시
0846a15be3ab,비회원,부산,사상구
36a786c82cd2,비회원,충북,음성군
cb645df3d81d,비회원,울산,남구
909f8db6939b,비회원,경기,평택시
02ecb466bc1f,비회원,제주특별자치도,제주시
af25a211eccb,비회원,대전,유성구
0108fdf280b6,비회원,충남,당진시
a1eea8e7c2c8,비회원,부산,북구
312c48989456,비회원,울산,북구
b3bb83465cf0,비회원,세종특별자치시,보듬4로
1ba3a3da9e5f,비회원,광주,북구
67efba3d521c,비회원,광주,북구
6661b5ca98ec,비회원,제주특별자치도,제주시
c0dffc81c23d,비회원,서울,강남구
089763818651,비회원,인천,계양구
3905d09858e1,비회원,경남,진주시
7a44b13d0411,비회원,인천,서구
d965c9200445,비회원,강원특별자치도,삼척시
0aa2ab99331e,비회원,강원특별자치도,강릉시
bf155814285c,비회원,경기,양주시
6c9096ae6a42,비회원,서울,송파구
6bc9cf6862b4,비회원,경기,의정부시
a641e068cd64,비회원,충남,홍성군
86a439cf2df5,비회원,부산,남구
919ba0e1e390,비회원,경기,화성시
6974612e4410,비회원,대전,서구
4e6525895907,비회원,경남,진주시
6e562b6d267c,비회원,경남,창원시
0977350c06e2,비회원,대구,달서구
f97739baf6cb,비회원,제주특별자치도,서귀포시
77e01230d7a5,비회원,제주특별자치도,서귀포시
179efa673920,비회원,인천,중구
28529765044e,비회원,경남,진주시
619f69854052,비회원,경남,양산시
d202f02c85be,비회원,강원특별자치도,춘천시
b781778e3bf8,비회원,강원특별자치도,강릉시
455d2170bde6,비회원,광주,광산구
eb8462bee634,비회원,인천,서구
c6af763ce89b,비회원,서울,강서구
385506357645,비회원,인천,부평구
232e6c1eb806,비회원,경기,성남시
25d29b0cb6dd,비회원,강원특별자치도,양양군
355ce5a72c4d,비회원,경기,수원시
99e38f2b9a42,비회원,경기,고양시
81ea136adcf8,비회원,경기,김포시
fd2581a09c42,비회원,경남,양산시
38497e9bff9a,비회원,경기,안양시
28c4a675afe3,비회원,강원특별자치도,삼척시
c832d38675b9,비회원,경남,창원시
57a660a4fb95,비회원,인천,미추홀구
161dbe7c1e2b,비회원,제주특별자치도,제주시
72983b066421,비회원,서울,강남구
551f17e32bb5,비회원,광주,서구
28a193e6faed,비회원,인천,미추홀구
b5ec74f3fef6,비회원,경기,화성시
b1fdaaa1628a,비회원,경기,수원시
0e1169b4b71f,비회원,제주특별자치도,제주시
4e9e9ce559be,비회원,부산,북구
c9f1e3a2f51a,비회원,인천,계양구
4b3af4cc643c,비회원,제주특별자치도,제주시
21f162b9f6d3,비회원,제주특별자치도,제주시
0b894e633c9e,비회원,경기,고양시
a5af69c95a04,비회원,인천,남동
9aa37bc09a2e,비회원,경기,화성시
791df20c8a1f,비회원,제주특별자치도,제주시
67d9f7beb5ac,비회원,경기,광명시
f87b4f9b6da3,비회원,제주특별자치도,제주시
aea29e6808ee,비회원,부산,북구
19b729693f39,비회원,경기도,화성시
da61a90d1298,비회원,경기도,양주시
f8e2ebf8d169,비회원,경기도,김포시
e12d4fd3f726,비회원,경상북도,포항시
961b6f27990a,비회원,경기도,평택시
ebff501ae61d,비회원,강원특별자치도,속초시
6e10486d3b0f,비회원,대전광역시,동
c57a23b225de,비회원,경기도,김포시
d9da14391699,비회원,서울특별시,강동
346205c38b04,비회원,경기도,안산시
6bb6f8865e04,비회원,대전광역시,동
5b753f063c89,비회원,서울특별시,마포구
5cd3793efd75,비회원,경상남도,창원시
3547a3db1977,비회원,경상남도,창원시
1b1c9d729530,비회원,충청남도,당진시
9d258b8db7cd,비회원,경상남도,창원시
20f49723ad06,비회원,충청남도,보령시
df47d9339f92,비회원,경상남도,창원시
6a89480eb174,비회원,경상남도,창원시
349ccef7f104,비회원,경상남도,창원시
994a7610dff1,비회원,경상남도,창원시
f064aece8ea4,비회원,경상남도,창원시
320a3ce73243,비회원,경상남도,창원시
f0746f877f78,비회원,경상남도,창원시
8db7beb0ebeb,비회원,경상남도,창원시
5dd1dc67e621,비회원,충남,아산시
4d01e3ac7f61,비회원,강원특별자치도,춘천시
fd0e148dc7ce,비회원,경상남도,창원시
aa577e4915d8,비회원,경상남도,창원시
55fc5fd90b55,비회원,충청남도,서산시
4c0ec97e94fa,비회원,경상남도,창원시
67cee605a6cd,비회원,경기도,동
5d6a40e6d753,비회원,경기도,의왕시
04ba3ea6f2b1,비회원,경기도,평택시
1dbbc45d700b,비회원,경상남도,창원시
acd6cf3932d5,비회원,전남,여수시
babb43b68ea9,비회원,경상남도,거창군
dd4212f45d94,비회원,충청남도,아산시
48ea34debbe5,비회원,인천광역시,부평구
f330af067fcb,비회원,경상남도,김해시
8aad19672614,비회원,강원특별자치도,동
39a7ad38333d,비회원,경상남도,창원시
91bdf2897d62,비회원,서울,마포구
0618d9c53981,비회원,강원특별자치도,원주시
389261ffb7a9,비회원,경기,양주시
f4e098088217,비회원,경남,창원시
1d1dbb8cce00,비회원,부산,강서구
3b76faa15a7d,비회원,서울,금천구
b9f320d197d7,비회원,경기,고양시
4737a33f4e37,비회원,전북특별자치도,익산시
6aba447e2b3f,비회원,충북,청주시
7ab0365423b0,비회원,대전,서구
87127094d8ea,비회원,서울,영등포구
c15beabc939c,비회원,인천,서구
aa9b2b2f3646,비회원,경남,김해시
ab81b7a1a83d,비회원,서울,금천구
37ae02484434,비회원,경남,창원시
74e7c185ec34,비회원,강원특별자치도,평창군
643365959349,비회원,충남,아산시
58f07054a4c5,비회원,충남,아산시
e5e3986243e5,비회원,경기,평택시
992ece932f70,비회원,경남,거제시
0d3fecfd7d8a,비회원,경남,창녕군
8949d0b14b49,비회원,경남,창원시
48a01d026a9d,비회원,경기,고양시
2821fb69cf5b,비회원,경남,창원시
8992bcfed756,비회원,경남,김해시
e0e73221b985,비회원,광주,북구
865def3a3a1a,비회원,경기,부천시
75da99061eed,비회원,경남,창원시
5f6285706aff,비회원,경남,창원시
71bfb2f729ce,비회원,부산,남구
79a00f559e33,비회원,경기,용인시
8abe50af1b6a,비회원,경남,밀양시
19759489da27,비회원,부산,영도구
0916bf6e9e19,비회원,제주특별자치도,제주시
242e7a3a03ca,비회원,경기,부천시
2203c072553e,비회원,경남,창원시
dfdb0b83ec83,비회원,경기,성남시
c65e50f114eb,비회원,부산,북구
5919cd64facb,비회원,제주특별자치도,서귀포시
1daddec8a0bb,비회원,인천,부평구
0990ae508aac,비회원,대구,수성구
8b3b351d7ea4,비회원,전남,순천시
678603d91c90,비회원,강원특별자치도,춘천시
f6b3da6b3b0f,비회원,경기,부천시
14f920e6b99e,비회원,서울,강동
75a141d91311,비회원,대구,달서구
df8277a7db6e,비회원,부산,남구
cc7523838dd5,비회원,경기,의정부시
cd4e20f39fcd,비회원,경기,평택시
583043dade51,비회원,경기,수원시
a6ef38dfc5e7,비회원,전남,광양시
c0805e5ee67d,비회원,충남,당진시
4ef5a14b83cc,비회원,세종특별자치시,마음안1로
56089dd7db36,비회원,경북,경주시
f7953764c348,비회원,인천,중구
2b28eaa49a22,비회원,인천,부평구
ebb26a1dd551,비회원,경기,의정부시
bb42e729544b,비회원,부산,서구
1dad63768978,비회원,전남,목포시
f4fb06296931,비회원,전남,화순군
8caf6a4bf427,비회원,경기,남양주시
b332d7ea86b3,비회원,경남,창원시
7c4629cb4949,비회원,경남,양산시
f037e6e9d984,비회원,광주,서구
e68baf45debc,비회원,서울,은평구
5ff92bcb8915,비회원,경기,의정부시
54867ff34dab,비회원,충남,계룡시
619a8464a889,비회원,경기,수원시
67431176afff,비회원,울산,북구
6b06f99d3a95,비회원,경기,양주시
ef0c58224ea0,비회원,서울,은평구
46cb8ab7ecbf,비회원,경기,용인시
b0d4e784162f,비회원,인천,서구
85b154c9e47a,비회원,충남,보령시
6cced21e023d,비회원,경기,안산시
4f1bfb04b5f2,비회원,전남,광양시
ee12050b8877,비회원,부산,사하구
94c17322ac01,비회원,부산,동
0ee30eb746da,비회원,경기,남양주시
db5f27a688bf,비회원,경기,용인시
d4a60a89a317,비회원,경기,광명시
763e7b0ad3a8,비회원,경남,김해시
fc36041bf466,비회원,경기,남양주시
b4e9d13760f5,비회원,경기,양주시
bebabad9ec57,비회원,세종특별자치시,새롬중앙로
068816a89f34,비회원,경북,포항시
7587f0fb5ca0,비회원,경기,성남시
7323b5014ad7,비회원,인천,연수구
424440966073,비회원,부산,동
735cc8892c62,비회원,충남,당진시
8c9f80552f41,비회원,충남,서산시
88cd2cad7d0f,비회원,부산,북구
36584c858b4e,비회원,서울,강남구
4522d451133c,비회원,경기,오산시
8b72aa125e10,비회원,경기,안산시
9e3b70c97cc8,비회원,서울,마포구
68e1cca70653,비회원,경기,시흥시
49a9281b610c,비회원,경기,안양시
9b8869f57773,비회원,경기,구리시
0fca207a5e3f,비회원,대전,서구
0755fe51cf85,비회원,경기,평택시
ecee7c231601,비회원,경기,성남시
2de747550f75,비회원,경기,성남시
fc3f2ce6f4df,비회원,광주,남구
f05fc0105138,비회원,전남,화순군
d14f26b2a90d,비회원,충북,진천군
781c32c61bd1,비회원,충북,진천군
2356eb7b269b,비회원,경남,김해시
e95e7798b9b1,비회원,서울,강서구
8ea1ee376cc3,비회원,경기,광명시
